,,,,,,,,,,,,,,,
Age :,,year,,,,,,,,Formular,,,,,
Calculated weight:,,kg,,,,,,,,Calculated weight formula:,(Age x 2) + 8,,,,
,NG or OG tube,FALSE,,,,,,,,,,"Loading: สามารถให้ยาได้ โดยไม่ต้องเจือจาง หรืออาจ เจือจางด้วย NSS, NSS/2, D5W ให้ได้ปริมาตรสุดท้าย 10-20 mL",,,
,Foley tube,FALSE,,,,,,,,,,"Maintenance: เจือจางได้ใน NSS, NSS/2, D5W' ให้ได้ ความเข้มข้น (final conc.) = 100 , 150 หรือ 200 mcg/mL",,,
,Chest tube (max size),FALSE,,,,,,,,,,Concentration,Preparation Method,,Volume
,LMA,FALSE,,,,,,,,,,100 mcg/mL,ยา 10 mg (10 mL) ผสมสารน้ำให้ได้ปริมาตรสุดท้าย 100 mL,,100 mL
,Stylet,FALSE,,,,,,,,,,150 mcg/mL,ยา 15 mg (15 mL) ผสมสารน้ำให้ได้ปริมาตรสุดท้าย 100 mL,,100 mL
,Anesthetic Face Mask,FALSE,,,,,,,,,,200 mcg/mL,ยา 10 mg (10 mL) ผสมสารน้ำให้ได้ปริมาตรสุดท้าย 50 mL,,50 mL
,Self-Inflating Bag,FALSE,,,,,,,,,,,,,
,Oropharyngeal Airway,FALSE,,,,,,,,,,Isoproterenol IV Infusion Preparation,,,
,Sterile gloves,FALSE,,,,,,,,,,"ยา 10 mL (2 mg) ใน D5W, NSS 500 mL (Final concentration 4 mcg/mL)",,,
,Plastic goggles,FALSE,,,,,,,,,,Concentration,Preparation Method,,Volume
,Monitor ET-CO2,FALSE,,,,,,,,,,4 mcg/mL,ยา 10 mL (2 mg) ผสมสารน้ำให้ได้ปริมาตรสุดท้าย 500 mL,,500 mL
,Plaster tape,FALSE,,,,,,,,,,20 mcg/mL,ยา 10 mL (2 mg) ผสมสารน้ำให้ได้ปริมาตรสุดท้าย 100 mL,,100 mL
,Syringe,FALSE,,,,,,,,,,,,,
,IV fluid set,FALSE,,,,,,,,,,,,,
