,,,,,,,,,,,,,,,,,,,,,,,,,
Age :,,month,Formular,,Age Estimated Weight (kg),,,,,,,Formular,,,,,,,,,,,,,
Calculated weight (For age 1-11 month):,,kg,(Age in months + 9) / 2,,1-11 mos (age in months + 9) / 2,,,,,,,Calculated weight formula:,(Age x 2) + 8,,,,,,,,,,,,
Calculated weight (For age >= 1 year):,,kg,(Age x 2) + 8,,1-4 yrs (age in years + 5) x 2,,,,,,,Cuffed Size formula:,(Age / 4) + 3.5,,,,,,,,,,,,
,,,,,5-14 yrs Age in years x 4,,,,,,,Uncuffed Size formula:,(Age / 4) + 4,,,,,,,,,,,,
Weight :,,kg,,,,,,,,,,Insertion Depth formula:,(Age / 2) + 12,size tube x 3,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Manula Calculator,,,,,,,,,,,,,
Normal V/S rang by Age,SBP (mmHg),MAP (mmHg),Heart rate (bpm),Respi Rate (RR),,,,,,,,Weight,,kg,,,,,,,,,,,
,,,,,,,,,,,,Drug ,,mg,,,,,,,,,,,
,,,,,,,,,,,,Solution,,ml,,,,,,,,,,,
Equipment Name/Item,Size (based on weight/age),Insertion Depth/Length,Reference,,,,,,,,,"Loading: สามารถให้ยาได้ โดยไม่ต้องเจือจาง หรืออาจ เจือจางด้วย NSS, NSS/2, D5W ให้ได้ปริมาตรสุดท้าย 10-20 mL",,,,,,,,,,,,,
ET Tube (Cuffed),4.75,14.5,Uptodate 2024,,,,,,,,,"Maintenance: เจือจางได้ใน NSS, NSS/2, D5W' ให้ได้ ความเข้มข้น (final conc.) = 100 , 150 หรือ 200 mcg/mL",,,,,,,,,,,,,
ET Tube (Uncuffed),5.25,14.5,Uptodate 2024,,,,,,,,,Concentration,Preparation Method,,Volume,,,,,,,,,,
NG or OG tube,10.5,,,,,,,,,,,100 mcg/mL,ยา 10 mg (10 mL) ผสมสารน้ำให้ได้ปริมาตรสุดท้าย 100 mL,,100 mL,,,,,,,,,,
Foley tube,10.5,,,,,,,,,,,150 mcg/mL,ยา 15 mg (15 mL) ผสมสารน้ำให้ได้ปริมาตรสุดท้าย 100 mL,,100 mL,,,,,,,,,,
Chest tube (max size),21,,,,,,,,,,,200 mcg/mL,ยา 10 mg (10 mL) ผสมสารน้ำให้ได้ปริมาตรสุดท้าย 50 mL,,50 mL,,,,,,,,,,
LMA,,,Anes Sirirah 2557,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Isoproterenol IV Infusion Preparation,,,,,,,,,,,,,
,Equipment Checklist,,,,,,,,,,,"ยา 10 mL (2 mg) ใน D5W, NSS 500 mL (Final concentration 4 mcg/mL)",,,,,,,,,,,,,
,Equipment,Check,,,,,,,,,,Concentration,Preparation Method,,Volume,,,,,,,,,,
,ET Tube (Cuffed),FALSE,,,,,,,,,,4 mcg/mL,ยา 10 mL (2 mg) ผสมสารน้ำให้ได้ปริมาตรสุดท้าย 500 mL,,500 mL,,,,,,,,,,
,ET Tube (Uncuffed),FALSE,,,,,,,,,,20 mcg/mL,ยา 10 mL (2 mg) ผสมสารน้ำให้ได้ปริมาตรสุดท้าย 100 mL,,100 mL,,,,,,,,,,
,NG or OG tube,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,Foley tube,FALSE,,,,,,,,,,,,,,,,,,,,,,,
,Chest tube (max size),FALSE,,,,,,,,,,Age,Respiratory rate (breaths/minute),,,Heart rate (beats/minute),,,,Category,For children aged 1 to <13 years,For children aged ≥13 years,,,
,LMA,FALSE,,,,,,,,,,,"Lower limit
 (1st percentile)","Normal range
 (10th to 90th percentile)","Upper limit
 (99th percentile)","Lower limit
 (1st percentile)","Normal range
 (10th to 90th percentile)","Upper limit
 (99th percentile)",,Normal BP,Systolic and diastolic BP <90th percentile,Systolic BP <120 and diastolic BP <80 mmHg,,,
,Stylet,FALSE,,,,,,,,,,0 to 3 months,25,34 to 57,66,107,123 to 164,181,,Elevated BP,"Systolic and diastolic BP ≥90th percentile to <95th percentile, or 120/<80 mmHg to <95th percentile (whichever is lower)",Systolic BP 120 to 129 and diastolic BP <80 mmHg,,,
,Anesthetic Face Mask,FALSE,,,,,,,,,,3 to <6 months,24,33 to 55,64,104,120 to 159,175,,Stage 1 HTN,"Systolic and diastolic BP ≥95th percentile to <95th percentile+12 mmHg, or 130/80 to 139/89 mmHg (whichever is lower)",130/80 to 139/89 mmHg,,,
,Self-Inflating Bag,FALSE,,,,,,,,,,6 to <9 months,23,31 to 52,61,98,114 to 152,168,,Stage 2 HTN,"Systolic and diastolic BP ≥95th percentile+12 mmHg, or ≥140/90 mmHg (whichever is lower)",≥140/90 mmHg,,,
,Oropharyngeal Airway,FALSE,,,,,,,,,,9 to <12 months,22,30 to 50,58,93,109 to 145,161,,"Adapted with permission from Pediatrics, Vol. 140, Page e20171904, Copyright © 2017 by the AAP.",,,,,
,Sterile gloves,FALSE,,,,,,,,,,12 to <18 months,21,28 to 46,53,88,103 to 140,156,,,,,,,
,Plastic goggles,FALSE,,,,,,,,,,18 to <24 months,19,25 to 40,46,82,98 to 135,149,,,,,,,
,Monitor ET-CO2,FALSE,,,,,,,,,,2 to <3 years,18,22 to 34,38,76,92 to 128,142,,,,,,,
,Plaster tape,FALSE,,,,,,,,,,3 to <4 years,17,21 to 29,33,70,86 to 123,136,,,,,,,
,Syringe,FALSE,,,,,,,,,,4 to <6 years,17,20 to 27,29,65,81 to 117,131,,,,,,,
,IV fluid set,FALSE,,,,,,,,,,6 to <8 years,16,18 to 24,27,59,74 to 111,123,,,,,,,
