Gender,Male,,,,,,,,,,Adrenaline (Epinephrine) IV Infusion Preparation,,,
Levetiracetam (500 mg/ 5 ml),Loading,30 - 40,mg/kg,450 - 600,4000 mg,"500 mg/5ml/vial mix in 0.9%NSS, RL, 5%D/W / IV (>15 min)",CPG Epilepsy 2021,,,,,,,
,Maintenance,10 - 30,mg/kg q12h,150 - 450,NA,"500 mg/5ml/vial mix in 0.9%NSS, RL, 5%D/W",,,,,,,,
Lacosamide (200 mg/ 20 ml),Loading,400,mg,400,400 mg,"200mg/20ml/vial mix in 0.9%NSS, RL, 5%D/W / IV",CPG Epilepsy 2021,,,,,,,
,Maintenance,200 - 400,mg/day,200 - 400,400 mg,"200mg/20ml/vial mix in 0.9%NSS, RL, 5%D/W",,,,,,,,
Propofol (200 mg/ 20 ml),Loading,2,mg/kg,30,NA,200 mg/20ml/vial (no dilution) / IV (rate <0.05 mg/kg/min),CPG Epilepsy 2021,,,,,,,
Thiopental (1 g/ vial),Loading,2,mg/kg,30,NA,"1g/vial mix in NSS, 5%DW, Sterile water to 2.5% solution / IV (rate <0.05 mg/kg/min)",CPG Epilepsy 2021,,,,,,,
,Maintenance,3 - 5,mg/kg/hr,45 - 75,NA,"1g/vial mix in NSS, 5%DW, Sterile water to 2.5% solution",,,,,,,,
Ketamine (500 mg/ 10 ml),Loading,1 - 2,mg/kg,15 - 30,NA,"500 mg/10ml/vial mix in NSS, 5%DW, Sterile water to <= 2 mg/ml / IV",CPG Epilepsy 2021,,,,,,,
,Maintenance,0.6 - 5,mg/kg/hr,9 - 75,NA,"500 mg/10ml/vial mix in NSS, 5%DW, Sterile water to <= 2 mg/ml",,,,,,,,
,,,,,,,,,,,,,,
,Manula Calculator,,,,,,,,,,,,,
,Weight,,kg,,,,,,,,,,,
,Drug ,,mg,,,,,,,,,,,
,Solution,,ml,,,,,,,,,,,
,Concentration,,mg/ml (mcg/ml),,,,,,,,,,,
,Dose (rate),,mcg/kg/min,,,,,,,,,,,
,Calculated drip rate,,ml/hr,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
